,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""혼밥하기 좋아요""","""양이 많아요""","""재료가 신선해요""","""매장이 청결해요""","""매장이 넓어요""","""특별한 메뉴가 있어요""","""주차하기 편해요""","""단체모임 하기 좋아요""","""인테리어가 멋져요""","""화장실이 깨끗해요""","""특별한 날 가기 좋아요""","""뷰가 좋아요""","""고기 질이 좋아요""","""차분한 분위기에요""","""음료가 맛있어요""","""음식이 빨리 나와요""","""직접 잘 구워줘요""","""비싼 만큼 가치있어요""","""음악이 좋아요""","""건강한 맛이에요""","""잡내가 적어요""","""아이와 가기 좋아요""","""메뉴 구성이 알차요""","""컨셉이 독특해요""","""현지 맛에 가까워요""","""기본 안주가 좋아요""","""술이 다양해요""","""오래 머무르기 좋아요""","""대화하기 좋아요""","""혼술하기 좋아요""","""반찬이 잘 나와요""","""사진이 잘 나와요""","""볼거리가 많아요""","""가격이 합리적이에요""","""체험 프로그램이 다양해요""","""놀이기구가 다양해요""","""먹거리가 풍부해요""","""시설이 깔끔해요""","""특색 있는 제품이 많아요""","""분위기가 편안해요""","""종류가 다양해요""","""품질이 좋아요""","""야외 공간이 멋져요""","""반려동물과 가기 좋아요""","""커피가 맛있어요""","""디저트가 맛있어요""","""집중하기 좋아요""","""좌석이 편해요""","""조용히 쉬기 좋아요""","""침구가 좋아요""","""호캉스하기 좋아요""","""깨끗해요""","""수영장이 잘 되어있어요""","""방음이 잘돼요""","""조식이 맛있어요""","""냉난방이 잘돼요""","""즐길 거리가 많아요""","""아늑해요""","""수업이 체계적이에요""","""안전하게 관리해요""","""샤워실이 잘 되어있어요""","""최신 장비를 사용해요""","""물이 깨끗해요""","""픽업서비스가 편해요""","""룸이 잘 되어있어요""","""공간이 넓어요""","""휴게공간이 잘 되어있어요""","""빵이 맛있어요""","""향신료가 강하지 않아요""","""대중교통이 편해요""","""취식 공간이 잘 되어있어요""","""상품이 다양해요""","""즉석커피가 맛있어요""","""할인/적립을 잘 챙겨줘요""","""행사 상품이 다양해요""","""즉석조리 식품이 맛있어요""","""배달 시스템이 편리해요""","""트렌디한 상품이 많아요""","""차가 맛있어요"""
0,제주도,제주시,한식,일품순두부한림점,4.37,377,33,93,44,37,28,28,22,20,18,14,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,제주도,제주시,한식,연두랑고갈비,,28,2,25,10,13,0,10,7,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,제주도,제주시,한식,길섶나그네,5,22,51,13,2,0,1,2,10,2,1,1,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,제주도,제주시,한식,대붕정,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,제주도,제주시,한식,쉬멍해장국,4.1,147,169,39,11,12,11,14,5,13,13,5,8,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,제주도,제주시,한식,우도청정식당,,173,26,71,27,19,4,26,34,10,4,15,7,3,1,2,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,제주도,제주시,한식,수빈이네제주밥상,4.57,57,9,25,6,6,6,8,6,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,제주도,제주시,한식,신촌도시락,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,제주도,제주시,한식,사랑방포차,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,제주도,제주시,한식,돈삼겹직영5호점,4.56,108,6,47,32,53,4,21,21,12,15,4,8,9,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
