,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""뷰가 좋아요""","""양이 많아요""","""가성비가 좋아요""","""특별한 메뉴가 있어요""","""주차하기 편해요""","""단체모임 하기 좋아요""","""인테리어가 멋져요""","""특별한 날 가기 좋아요""","""혼밥하기 좋아요""","""매장이 넓어요""","""매장이 청결해요""","""화장실이 깨끗해요""","""반찬이 잘 나와요""","""음식이 빨리 나와요""","""건강한 맛이에요""","""고기 질이 좋아요""","""아이와 가기 좋아요""","""메뉴 구성이 알차요""","""룸이 잘 되어있어요""","""포장이 깔끔해요""","""대화하기 좋아요""","""커피가 맛있어요""","""음료가 맛있어요""","""디저트가 맛있어요""","""좌석이 편해요""","""사진이 잘 나와요""","""집중하기 좋아요""","""야외 공간이 멋져요""","""아늑해요""","""차분한 분위기에요""","""음악이 좋아요""","""반려동물과 가기 좋아요""","""직접 잘 구워줘요""","""현지 맛에 가까워요""","""비싼 만큼 가치있어요""","""종류가 다양해요""","""특색 있는 제품이 많아요""","""시설이 깔끔해요""","""품질이 좋아요""","""분위기가 편안해요""","""아기자기해요""","""코스요리가 알차요""","""잡내가 적어요""","""술이 다양해요""","""혼술하기 좋아요""","""기본 안주가 좋아요""","""오래 머무르기 좋아요""","""컨셉이 독특해요""","""선물하기 좋아요""","""과일이 맛있어요""","""신선해요""","""가격이 합리적이에요""","""제철 과일이 빨리 나와요""","""원산지 표시가 명확해요""","""상품이 다양해요""","""깨끗해요""","""침구가 좋아요""","""조용히 쉬기 좋아요""","""근처에 갈 곳이 많아요""","""대중교통이 편해요""","""방음이 잘돼요""","""냉난방이 잘돼요""","""즐길 거리가 많아요""","""화장실이 잘 되어있어요""","""물놀이하기 좋아요""","""향신료가 강하지 않아요""","""호캉스하기 좋아요""","""조식이 맛있어요""","""샐러드바가 잘 되어있어요""","""과채가 신선해요""","""행사 상품이 다양해요""","""할인/적립을 잘 챙겨줘요""","""신상품이 많아요""","""즉석조리 식품이 맛있어요""","""배달 시스템이 편리해요""","""트렌디한 상품이 많아요""","""빵이 맛있어요""","""위생적이에요""","""산책로가 잘 되어있어요""","""볼거리가 많아요""","""관리가 잘 되어있어요""","""체험 프로그램이 다양해요""","""편의시설이 잘 되어있어요""","""먹거리가 풍부해요""","""자연 경관이 좋아요""","""유익해요""","""수영장이 잘 되어있어요""","""설명이 자세해요""","""추천을 잘해줘요""","""포장이 정성스러워요"""
2000,제주도,제주시,한식,어촌계회센타,4.35,90,38,38,25,16,14,8,8,8,7,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,제주도,제주시,한식,순수자연치즈,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,제주도,제주시,한식,한림칼국수제주동문시장점,4.41,642,609,259,81,81,3,59,53,65,7,0,5,2,86,7,94,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,제주도,제주시,한식,제제김밥,4.47,425,66,145,37,71,1,15,77,26,0,2,1,1,23,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,제주도,제주시,한식,속리산방,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,제주도,제주시,한식,휴민속주점,,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,제주도,제주시,한식,헤이국밥,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,제주도,제주시,한식,문게야,,232,266,114,54,41,0,10,24,51,6,19,0,8,7,8,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,제주도,제주시,한식,일용이네,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,제주도,제주시,한식,돈풍년,4.36,485,104,196,44,63,2,14,18,13,84,58,4,12,2,82,28,16,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
