,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""가성비가 좋아요""","""반찬이 잘 나와요""","""친절해요""","""재료가 신선해요""","""양이 많아요""","""혼밥하기 좋아요""","""주차하기 편해요""","""매장이 넓어요""","""화장실이 깨끗해요""","""매장이 청결해요""","""단체모임 하기 좋아요""","""뷰가 좋아요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요""","""고기 질이 좋아요""","""특별한 날 가기 좋아요""","""룸이 잘 되어있어요""","""건강한 맛이에요""","""종류가 다양해요""","""컨셉이 독특해요""","""음식이 빨리 나와요""","""현지 맛에 가까워요""","""메뉴 구성이 알차요""","""사진이 잘 나와요""","""음료가 맛있어요""","""커피가 맛있어요""","""디저트가 맛있어요""","""대화하기 좋아요""","""집중하기 좋아요""","""좌석이 편해요""","""차분한 분위기에요""","""직접 잘 구워줘요""","""아이와 가기 좋아요""","""잡내가 적어요""","""깨끗해요""","""조용히 쉬기 좋아요""","""근처에 갈 곳이 많아요""","""냉난방이 잘돼요""","""침구가 좋아요""","""즐길 거리가 많아요""","""물놀이하기 좋아요""","""화장실이 잘 되어있어요""","""방음이 잘돼요""","""대중교통이 편해요""","""전기 사용이 편해요""","""온수가 잘 나와요""","""말 교육이 잘 되어있어요""","""강습 받기 좋아요""","""안전하게 관리해요""","""코스가 길어요""","""시설이 깔끔해요""","""가격이 합리적이에요""","""코스가 다양해요""","""아늑해요""","""호캉스하기 좋아요""","""조식이 맛있어요""","""수영장이 잘 되어있어요""","""기본 안주가 좋아요""","""술이 다양해요""","""오래 머무르기 좋아요""","""혼술하기 좋아요""","""음악이 좋아요""","""향신료가 강하지 않아요""","""야외 공간이 멋져요""","""포장이 깔끔해요""","""취사시설이 잘 되어있어요""","""바비큐 해먹기 좋아요 ""","""코스요리가 알차요""","""수업이 체계적이에요""","""샤워실이 잘 되어있어요""","""최신 장비를 사용해요""","""체험 프로그램이 다양해요""","""물이 깨끗해요""","""비싼 만큼 가치있어요""","""학생과 소통을 잘해요""","""선생님이 열정적이에요""","""맞춤 지도를 잘해줘요""","""상담이 자세해요""","""반려동물과 가기 좋아요""","""품질이 좋아요""","""조리하기 쉬워요""","""조리법 설명이 자세해요""","""라이브공연이 훌륭해요""","""파티하기 좋아요""","""선물하기 좋아요""","""환기가 잘 돼요""","""빵이 맛있어요""","""샐러드바가 잘 되어있어요""","""신선해요""","""원산지 표시가 명확해요""","""부위가 다양해요"""
3000,제주도,제주시,한식,머물다정식,4.71,131,27,71,61,53,38,32,24,19,10,9,8,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3001,제주도,제주시,한식,명리동식당세화점,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,제주도,제주시,한식,설레임,4.77,"1,605",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,제주도,제주시,한식,곱전,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,제주도,제주시,한식,도나망,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,제주도,제주시,한식,안주맛집,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3006,제주도,제주시,한식,아는동생,4.3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,제주도,제주시,한식,해장이랑국수,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,제주도,제주시,한식,오복뼈갈비,3.94,21,2,8,3,0,4,3,2,0,0,1,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3009,제주도,제주시,한식,베이징,4.35,109,75,60,24,0,37,36,25,2,2,4,2,17,14,2,9,41,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
