,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""뷰가 좋아요""","""매장이 청결해요""","""매장이 넓어요""","""특별한 메뉴가 있어요""","""주차하기 편해요""","""단체모임 하기 좋아요""","""가성비가 좋아요""","""메뉴 구성이 알차요""","""화장실이 깨끗해요""","""특별한 날 가기 좋아요""","""인테리어가 멋져요""","""야외 공간이 멋져요""","""아늑해요""","""오래 머무르기 좋아요""","""혼밥하기 좋아요""","""차분한 분위기에요""","""술이 다양해요""","""음식이 빨리 나와요""","""고기 질이 좋아요""","""건강한 맛이에요""","""반찬이 잘 나와요""","""직접 잘 구워줘요""","""코스요리가 알차요""","""대화하기 좋아요""","""디저트가 맛있어요""","""혼술하기 좋아요""","""포장이 깔끔해요""","""사진이 잘 나와요""","""컨셉이 독특해요""","""환기가 잘 돼요""","""좌석이 편해요""","""샐러드바가 잘 되어있어요""","""아이와 가기 좋아요""","""음악이 좋아요""","""기본 안주가 좋아요""","""현지 맛에 가까워요""","""규모가 커요""","""시설이 깔끔해요""","""가격이 합리적이에요""","""휴게공간이 잘 되어있어요""","""수면실이 잘 되어있어요""","""특이한 찜질방이 있어요""","""부대시설이 잘 되어있어요""","""놀거리가 많아요""","""커피가 맛있어요""","""음료가 맛있어요""","""집중하기 좋아요""","""잡내가 적어요""","""품질이 좋아요""","""종류가 다양해요""","""비싼 만큼 가치있어요""","""조리하기 쉬워요""","""조리법 설명이 자세해요""","""반려동물과 가기 좋아요""","""차가 맛있어요""","""향신료가 강하지 않아요""","""빵이 맛있어요""","""룸이 잘 되어있어요""","""클럽하우스가 잘 되어있어요""","""필드 상태가 좋아요""","""캐디의 진행이 매끄러워요""","""코스가 변별력 있어요""","""그늘집이 잘 되어있어요""","""예약 시간을 잘 지켜요""","""깨끗해요""","""조용히 쉬기 좋아요""","""수영장이 잘 되어있어요""","""침구가 좋아요""","""호캉스하기 좋아요""","""조식이 맛있어요""","""냉난방이 잘돼요""","""방음이 잘돼요""","""즐길 거리가 많아요""","""대중교통이 편해요""","""화장실이 잘 되어있어요""","""특색 있는 제품이 많아요""","""분위기가 편안해요""","""트렌디해요""","""상품이 다양해요""","""행사 상품이 다양해요""","""트렌디한 상품이 많아요""","""할인/적립을 잘 챙겨줘요""","""즉석커피가 맛있어요""","""즉석조리 식품이 맛있어요""","""취식 공간이 잘 되어있어요""","""배달 시스템이 편리해요""","""택배 이용이 편리해요""","""근처에 갈 곳이 많아요""","""물놀이하기 좋아요""","""산책로가 잘 되어있어요""","""볼거리가 많아요""","""편의시설이 잘 되어있어요""","""신기한 식물이 많아요"""
4000,제주도,제주시,한식,다옵서제주구좌월정본점,,327,32,273,205,204,127,114,111,68,60,55,33,25,18,12,8,7,7,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4001,제주도,제주시,한식,한림1리느영나영모다들엉,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002,제주도,제주시,한식,해림식당,4.12,118,23,56,13,20,20,1,11,12,5,1,3,14,0,1,1,6,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,제주도,제주시,한식,송당퐁닭송당퐁당,,182,36,160,68,140,33,32,74,45,48,21,18,5,0,14,1,96,7,0,0,0,0,48,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4004,제주도,제주시,한식,마켓코시롱앤코시롱밥상,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4005,제주도,제주시,한식,흑도리,,108,212,69,52,77,8,1,41,5,8,14,4,67,0,0,3,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006,제주도,제주시,한식,효주방,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4007,제주도,제주시,한식,까망꼬숑,,360,76,272,131,240,42,4,128,7,170,17,12,32,2,25,204,105,0,2,0,26,2,0,0,32,0,0,31,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008,제주도,제주시,한식,미풍해장국한림점,,94,99,78,46,61,25,0,45,3,0,30,1,0,0,0,0,2,0,0,0,11,0,0,11,34,16,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,제주도,제주시,한식,고기왕,,394,184,222,74,184,14,56,113,24,29,81,32,25,1,12,18,32,0,0,0,0,0,0,0,185,0,0,129,0,12,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
