,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""재료가 신선해요""","""양이 많아요""","""주차하기 편해요""","""혼밥하기 좋아요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","""매장이 넓어요""","""단체모임 하기 좋아요""","""인테리어가 멋져요""","""화장실이 깨끗해요""","""건강한 맛이에요""","""음식이 빨리 나와요""","""아이와 가기 좋아요""","""사진이 잘 나와요""","""대화하기 좋아요""","""특별한 날 가기 좋아요""","""뷰가 좋아요""","""포장이 깔끔해요""","""고기 질이 좋아요""","""직접 잘 구워줘요""","""야외 공간이 멋져요""","""반찬이 잘 나와요""","""환기가 잘 돼요""","""커피가 맛있어요""","""음료가 맛있어요""","""디저트가 맛있어요""","""집중하기 좋아요""","""좌석이 편해요""","""차분한 분위기에요""","""아늑해요""","""음악이 좋아요""","""컨셉이 독특해요""","""반려동물과 가기 좋아요""","""술이 다양해요""","""기본 안주가 좋아요""","""혼술하기 좋아요""","""오래 머무르기 좋아요""","""선물하기 좋아요""","""코스요리가 알차요""","""잡내가 적어요""","""메뉴 구성이 알차요""","""맞춤 케어를 잘해줘요""","""가격이 합리적이에요""","""마사지가 시원해요""","""분위기가 편안해요""","""시술이 꼼꼼해요""","""관리 효과가 좋아요""","""상담이 자세해요""","""현지 맛에 가까워요""","""볼거리가 많아요""","""야경이 멋져요""","""룸이 잘 되어있어요""","""종류가 다양해요""","""위생적이에요""","""배달 시스템이 편리해요""","""샐러드바가 잘 되어있어요""","""비싼 만큼 가치있어요""","""시설이 깔끔해요""","""공간이 넓어요""","""최신 장비를 사용해요""","""휴게공간이 잘 되어있어요""","""깨끗해요""","""즐길 거리가 많아요""","""침구가 좋아요""","""조용히 쉬기 좋아요""","""냉난방이 잘돼요""","""호캉스하기 좋아요""","""대중교통이 편해요""","""방음이 잘돼요""","""조식이 맛있어요""","""수영장이 잘 되어있어요""","""근처에 갈 곳이 많아요""","""화장실이 잘 되어있어요""","""차가 맛있어요""","""동물을 배려한 환경이에요""","""관리가 잘 되어있어요""","""체험 프로그램이 다양해요""","""규모가 커요""","""프로그램 구성이 알차요""","""빵이 맛있어요""","""파티하기 좋아요""","""향신료가 강하지 않아요""","""물놀이하기 좋아요"""
6000,제주도,서귀포시,한식,덕수영애네,,23,1,15,7,7,6,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,제주도,서귀포시,한식,수공방카페,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6002,제주도,서귀포시,한식,(주)젠하이더웨이묵전제주점,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003,제주도,서귀포시,한식,밥정,,63,5,52,21,17,30,8,5,22,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,제주도,서귀포시,한식,동백개화,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,제주도,서귀포시,한식,원스시,,26,6,23,16,10,12,7,1,2,2,9,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6006,제주도,서귀포시,한식,중문해장북어국,,120,40,106,35,38,57,52,0,13,0,29,10,1,0,2,55,15,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6007,제주도,서귀포시,한식,두도(斗度),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6008,제주도,서귀포시,한식,제쭈서귀포신시가지점,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,제주도,서귀포시,한식,염세주의,,138,65,96,79,23,58,14,19,10,57,62,24,15,43,18,0,1,0,0,0,47,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
