,시도,시군,업종,업소명,별점,방문자 리뷰수,블로그 리뷰수,"""음식이 맛있어요""","""가성비가 좋아요""","""친절해요""","""양이 많아요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 넓어요""","""매장이 청결해요""","""혼밥하기 좋아요""","""화장실이 깨끗해요""","""인테리어가 멋져요""","""단체모임 하기 좋아요""","""주차하기 편해요""","""뷰가 좋아요""","""특별한 날 가기 좋아요""","""좌석이 편해요""","""환기가 잘 돼요""","""디저트가 맛있어요""","""커피가 맛있어요""","""음료가 맛있어요""","""대화하기 좋아요""","""사진이 잘 나와요""","""집중하기 좋아요""","""반찬이 잘 나와요""","""포장이 깔끔해요""","""현지 맛에 가까워요""","""메뉴 구성이 알차요""","""고기 질이 좋아요""","""직접 잘 구워줘요""","""깨끗해요""","""조용히 쉬기 좋아요""","""대중교통이 편해요""","""냉난방이 잘돼요""","""바비큐 해먹기 좋아요 ""","""반려동물과 가기 좋아요""","""아늑해요""","""음식이 빨리 나와요""","""차분한 분위기에요""","""술이 다양해요""","""빵이 맛있어요""","""건강한 맛이에요""","""야외 공간이 멋져요""","""컨셉이 독특해요""","""아이와 가기 좋아요""","""혼술하기 좋아요""","""잡내가 적어요""","""향신료가 강하지 않아요""","""오래 머무르기 좋아요""","""화장실이 잘 되어있어요""","""코스요리가 알차요""","""기본 안주가 좋아요"""
0,제주도,제주시,중식,왕서방,4.46,364,78,182,83,74,55,51,32,23,23,22,19,10,8,6,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,제주도,제주시,일식,용초밥,4.65,83,24,7,3,6,0,8,7,0,2,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,제주도,서귀포시,한식_일반,킹마트분식,4.25,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,제주도,서귀포시,기타양식,낭만팥집,4.47,236,124,0,25,24,0,0,38,0,13,0,1,17,0,7,0,0,0,0,52,8,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,제주도,서귀포시,한식_육류,삼겹살파티,4.59,52,37,17,12,11,4,10,1,6,2,0,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,제주도,서귀포시,한식_일반,해오름식당,4.29,597,613,224,60,111,58,84,45,43,46,35,17,18,21,66,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,제주도,서귀포시,한식_일반,부전식당,3.78,75,17,28,7,13,4,10,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,제주도,서귀포시,기타양식,투빅커피,,55,4,0,33,25,0,0,5,0,13,0,1,1,0,16,0,0,1,0,5,21,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,제주도,서귀포시,한식_찌개류,남원콩나물국밥,,122,16,63,56,32,17,14,3,4,12,17,2,3,2,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,제주도,서귀포시,기타양식,꿀맛,4.92,630,161,0,138,294,0,0,278,0,167,0,16,129,0,15,79,0,23,0,482,213,254,42,136,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,제주도,서귀포시,기타양식,하노이식당,4.6,289,90,227,57,108,123,84,49,16,62,42,22,56,7,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,제주도,서귀포시,한식_분식,앵콜열무냉면,4.66,60,15,26,7,12,4,10,4,1,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,제주도,서귀포시,한식_일반,얼큰이공주칼국수,4.68,128,15,60,32,30,25,22,8,2,23,10,2,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,제주도,서귀포시,일식,오규동,4.33,194,81,39,28,12,4,3,3,4,21,21,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,제주도,서귀포시,한식_육류,삼삼막창,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,제주도,서귀포시,한식_일반,일번지식당,4.27,162,481,55,8,30,4,15,4,15,8,1,1,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,제주도,서귀포시,한식_찌개류,오일장왕십리식당,4.3,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,제주도,서귀포시,한식_해산물,바당어죽,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,제주도,서귀포시,한식_일반,금복식당,,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,제주도,서귀포시,한식_육류,돈하르방,4.47,214,50,81,49,56,22,24,15,2,6,1,4,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,제주도,서귀포시,한식_일반,신선국수,4.1,29,12,15,6,5,3,6,2,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,제주도,서귀포시,중식,줄서서먹는짜장신시가지점,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,제주도,서귀포시,한식_일반,오아시스,4.36,41,21,0,0,11,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
