식당(ID),식당명,도로명주소,지번주소,식당위도,식당경도,식당대표전화번호,영업신고증업태명,영업인허가명,음식점소개내용,식당상태
1681,진미반점,전라북도 전주시 완산구 전라감영3길 12-3,전라북도 전주시 완산구 중앙동2가 44-1,35.8165106,127.1433625,063-284-4218,한식,일반음식점,"전라북도 전주시에 가신다면 ""진미반점""에 방문해보세요~ 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다! 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
2691,한국식당,전라북도 전주시 완산구 전라감영로 48-1,전라북도 전주시 완산구 중앙동4가 34,35.8154343,127.1444954,063-284-6932,한식,일반음식점,"전라북도 전주시에 가신다면 ""한국식당""에 방문해보세요~ 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
3101,PNB풍년제과 본점,전라북도 전주시 완산구 팔달로 180,전라북도 전주시 완산구 경원동1가 40-5,35.8184347,127.1471961,063-285-6666,제과점영업,제과점영업,"2014년 09월 20일 Ystar 식신로드 200회, 2014년 05월 12일 SBS 생활의달인 429회, 2013년 09월 20일 KBS2 VJ특공대 683회 등 여러 방송에서 다룬 바로 그 곳! 전라북도 전주시 인기 맛집 ""피엔비풍년제과(경원동본점)""를 방문해보세요! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
3103,가람나주곰탕,전라북도 전주시 덕진구 떡전로 5,전라북도 전주시 덕진구 금암동 794-7,35.8357146,127.1282544,063-227-3395,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 전라북도 전주시 맛집, ""가람 나주곰탕""을 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 주차공간, 다국어 메뉴판이 있는 매장입니다.",운영중
4121,태봉집,전라북도 전주시 완산구 전주객사5길 43-14,전라북도 전주시 완산구 고사동 195-1,35.8202607,127.1445302,063-283-2458,복어취급,일반음식점,"2019년 09월 27일 TV조선 식객허영만의백반기행 18회에서 소개되었던 맛집, ""태봉집""입니다! 전라북도 전주시 근처라면 방문해보세요. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
4124,대성회관,전라북도 전주시 완산구 현무1길 9-8,전라북도 전주시 완산구 경원동3가 17-12,35.820259,127.1476942,063-284-6492,한식,일반음식점,"전라북도 전주시에서 어디를 갈지 고민이라면! ""대성회관""에 가보시는 건 어떨까요? 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
4995,피자브릭,전라북도 전주시 완산구 전주객사5길 43-12,전라북도 전주시 완산구 고사동 194-1,35.8203652,127.1444933,063-282-3662,한식,일반음식점,"전라북도 전주시에 가신다면 ""피자브릭""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 남녀 화장실이 구분되어 있는 매장입니다. 배달 가능한 매장입니다. 주차공간, 놀이방이 마련되어 있으며 다국어 메뉴판, 무선 인터넷을 제공하는 매장입니다.",운영중
4997,한미반점,전라북도 전주시 완산구 전주객사2길 21,전라북도 전주시 완산구 다가동3가 16,35.817773,127.140807,063-288-6721,기타,일반음식점,"2020년 01월 16일 KBS1 6시내고향 6948회에서 소개되었던 맛집, ""한미반점""입니다! 전라북도 전주시 근처라면 방문해보세요. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
5500,신한양불고기,전라북도 전주시 완산구 전주객사3길 11,전라북도 전주시 완산구 중앙동1가 1-4,35.8177412,127.1425177,063-284-7331,한식,일반음식점,"전라북도 전주시에 가신다면 ""신한양불고기""에 방문해보세요~ 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
5506,양기복집,전라북도 전주시 덕진구 벚꽃3길 4-13,전라북도 전주시 덕진구 진북동 1022-21,35.8281679,127.1346561,063-273-0676,복어취급,일반음식점,"""양기복집""은 전라북도 전주시에 있습니다. 레드테이블에서 온라인 예약이 가능합니다! 배달 가능한 매장입니다. 다국어 메뉴판이 있는 매장입니다.",운영중
6169,전주밥상,전라북도 전주시 완산구 전주객사3길 49,전라북도 전주시 완산구 고사동 340-4,35.8194062,127.1418862,063-286-6040,한식,일반음식점,"전라북도 전주시에서 맛집을 찾으신다면 ""전주밥상""을 추천합니다. 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
6170,시장집,전라북도 전주시 완산구 전주객사1길 7,전라북도 전주시 완산구 다가동3가 66-2,35.8169677,127.140343,063-288-3802,한식,일반음식점,"""시장골목집""을 전라북도 전주시의 가 볼 만한 식당으로 추천합니다! 레드테이블에서 온라인 예약이 가능합니다! 다국어 메뉴판이 있는 매장입니다.",운영중
