식당(ID),식당명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점,식당상태
2691,한국식당,전라북도 전주시,안심식당,0.18,Y,0.13,0.34,4,,4.18,운영중
3101,PNB풍년제과 본점,전라북도 전주시,,0.2,Y,0.14,0.67,4.5,,4.37,운영중
4121,태봉집,전라북도 전주시,,0.14,Y,0.13,0.36,2,,4.17,운영중
4997,한미반점,전라북도 전주시,,0.16,Y,0.13,0.38,3,,4,운영중
7242,메르밀 진미집,전라북도 전주시,,0.18,Y,0.27,0.33,4,,4.3,운영중
8797,성미당,전라북도 전주시,안심식당,0.19,Y,0.3,0.37,4.5,,4.09,운영중
8799,또순이네집,전라북도 전주시,,0.18,Y,0.13,0.36,3.5,,4.41,운영중
8805,덕천식당,전라북도 전주시,,0.21,Y,0.26,0.38,5,,4.59,운영중
10455,반야돌솥밥,전라북도 전주시,모범음식점,0.18,Y,0.21,0.4,4,,4.13,운영중
12144,계수나무,전라북도 전주시,,0.19,Y,0.19,0.34,4,,4.53,운영중
14261,동창갈비,전라북도 전주시,,0.16,Y,0.16,0.34,3,,4.29,운영중
16469,효자문,전라북도 전주시,,0.18,Y,0.17,0.34,4,,4.18,운영중
27155,땡땡이상추튀김,전라북도 전주시,,0.16,Y,0.26,0.34,3,,4.2,운영중
31464,호성횟집,전라북도 전주시,,0.2,Y,0.13,0.03,4,,5,운영중
36844,모두랑 전북대점,전라북도 전주시,,0.19,Y,0.13,0.34,4,,4.57,운영중
36851,금암피순대,전라북도 전주시,,0.21,Y,0.13,0.38,5,,4.27,운영중
42486,종로회관,전라북도 전주시,"모범음식점,안심식당",0.18,Y,0.39,0.46,4,,4.08,운영중
42489,장수원,전라북도 전주시,,0.19,Y,0.26,0.08,4,,4.46,운영중
42496,육일식당,전라북도 전주시,,0.18,Y,0.15,0.39,4,,4.23,운영중
49767,금암소바,전라북도 전주시,,0.2,Y,0.15,0.39,4.5,,4.41,운영중
58654,초장집,전라북도 전주시,,0.2,Y,0.15,0.38,4.5,,4.46,운영중
58686,투썸플레이스전주CGV중앙점,전라북도 전주시,,0.19,Y,0.13,0.19,4,,4.36,운영중
69044,왱이,전라북도 전주시,"모범음식점,안심식당",0.19,Y,0.36,0.67,4,,4.37,운영중
69045,풍전콩나물국밥,전라북도 전주시,모범음식점,0.19,Y,0.36,0.34,4,,4.43,운영중
69053,청학동버섯전골,전라북도 전주시,"모범음식점,안심식당",0.2,Y,0.22,0.36,4.5,,4.33,운영중
80578,고궁 전주본점,전라북도 전주시,"모범음식점,안심식당",0.28,Y,0.36,0.49,4,4.3,4.21,운영중
80582,스페쏘,전라북도 전주시,,0.19,Y,0.12,0.34,4,,4.52,운영중
80599,손가네바지락손칼국수,전라북도 전주시,,0.18,Y,0.13,0.34,4,,4.28,운영중
92406,오원집 본점,전라북도 전주시,,0.2,Y,0.16,0.43,4.5,,4.34,운영중
92438,만나별미,전라북도 전주시,,0.2,Y,0.24,0.34,5,,4.12,운영중
92454,김밥이맛있는집,전라북도 전주시,,0.16,Y,0.26,0.16,3,,4.31,운영중
92458,파리바게뜨 전주효자점,전라북도 전주시,,0.19,Y,0.15,0.08,4,,4.38,운영중
92470,산쪼메 전북대점,전라북도 전주시,,0.19,Y,0.12,0.34,4,,4.34,운영중
92478,길손네학사주점,전라북도 전주시,,0.17,Y,0.13,0.34,3,,4.5,운영중
104398,해태바베큐,전라북도 전주시,,0.2,Y,0.13,0.36,4.5,,4.5,운영중
118786,이래면옥,전라북도 전주시,모범음식점,0.19,Y,0.21,0.34,4,,4.36,운영중
118800,김미숙부대찌개,전라북도 전주시,안심식당,0.18,Y,0.13,0.34,4,,4.2,운영중
118807,김밥이야기,전라북도 전주시,,0.18,Y,0.13,0.34,4,,4.29,운영중
118925,청양농장 전북대점,전라북도 전주시,,0.16,Y,0.12,0.34,3,,4.39,운영중
134913,교촌치킨효자점,전라북도 전주시,,0.18,Y,0.12,0.07,4,,4.22,운영중
134971,계화도회막회집,전라북도 전주시,,0.21,Y,0.11,0.02,5,,4.5,운영중
155930,신포우리만두 영화의거리점,전라북도 전주시,,0.18,Y,0.26,0.12,3.5,,4.45,운영중
156011,청정오리떼,전라북도 전주시,모범음식점,0.16,Y,0.18,0.27,3,,3.99,운영중
156016,권씨네,전라북도 전주시,안심식당,0.21,Y,0.18,0.34,5,,4.39,운영중
156091,마이산피순대,전라북도 전주시,,0.21,Y,0.26,0.38,5,,4.38,운영중
156093,청주본가 전주점,전라북도 전주시,,0.19,Y,0.23,0.32,4,,4.36,운영중
156116,백자원,전라북도 전주시,"모범음식점,안심식당",0.16,Y,0.15,0.34,3,,4.31,운영중
156123,아리랑하우스,전라북도 전주시,"모범음식점,안심식당",0.2,Y,0.19,0.38,5,,4.08,운영중
156256,족보설렁탕,전라북도 전주시,,0.19,Y,0.13,0.36,4,,4.4,운영중
178095,김밥나라효자점,전라북도 전주시,,0.16,Y,0.26,0.02,3,,4.19,운영중
178101,호순이감자탕,전라북도 전주시,"모범음식점,안심식당",0.16,Y,0.16,0.34,3,,4.35,운영중
178156,배스킨라빈스 전주효자,전라북도 전주시,,0.16,Y,0.16,0.1,3,,4.37,운영중
178184,투썸플레이스 전주전북대점,전라북도 전주시,,0.19,Y,0.16,0.34,4,,4.49,운영중
198840,흑두부이야기,전라북도 전주시,모범음식점,0.18,Y,0.19,0.33,4,,4.11,운영중
198845,수지,전라북도 전주시,,0.19,Y,0.27,0.16,4,,4.49,운영중
198872,용진집막걸리,전라북도 전주시,,0.18,Y,0.13,0.44,4,,4.2,운영중
198923,광명생곱창,전라북도 전주시,,0.2,Y,0.12,0.1,5,,3.97,운영중
199048,고수닭갈비 전북대점,전라북도 전주시,,0.19,Y,0.18,0.34,4,,4.41,운영중
218733,이바돔 감자탕 전주점,전라북도 전주시,,0.18,Y,0.13,0.34,4,,4.15,운영중
238570,신성중화요리,전라북도 전주시,,0.18,Y,0.26,0.16,4,,4.23,운영중
238571,본죽 전주효자점,전라북도 전주시,,0.16,Y,0.28,0.09,3,,4.25,운영중
238745,쭈꾸미신화,전라북도 전주시,"모범음식점,안심식당",0.21,Y,0.31,0.34,5,,4.37,운영중
238773,우에우에테낭고,전라북도 전주시,,0.21,Y,0.13,0.33,5,,4.3,운영중
258684,금암면옥,전라북도 전주시,안심식당,0.21,Y,0.13,0.34,5,,4.31,운영중
258715,장어야놀자 송천점,전라북도 전주시,"모범음식점,안심식당",0.18,Y,0.19,0.34,4,,4.2,운영중
258721,삼초삽삼겹살아중점,전라북도 전주시,"모범음식점,안심식당",0.21,Y,0.18,0.34,5,,4.37,운영중
258750,새빨간뉴죤스찜닭,전라북도 전주시,,0.18,Y,0.15,0.34,4,,4.23,운영중
279583,하숙영가마솥비빔밥,전라북도 전주시,,0.19,Y,0.14,0.33,,4.3,4.33,운영중
279589,작은곰자리,전라북도 전주시,,0.19,Y,0.15,0.34,4,,4.45,운영중
279595,돈까스하우스.com,전라북도 전주시,,0.21,Y,0.13,0.34,5,,4.63,운영중
279669,나무라듸오,전라북도 전주시,,0.2,Y,0.12,0.33,4.5,,4.43,운영중
279673,우정식당,전라북도 전주시,,0.18,Y,0.27,0.36,4,,4.2,운영중
279674,운암콩나물국밥,전라북도 전주시,,0.17,Y,0.27,0.37,3.5,,4.26,운영중
279788,본참치 송천점,전라북도 전주시,,0.19,Y,0.15,0.33,4.5,,4.02,운영중
301004,우리밀동우,전라북도 전주시,,0.18,Y,0.13,0.34,4,,4.2,운영중
301007,저팔계 족발보쌈,전라북도 전주시,,0.19,Y,0.12,0.24,4,,4.43,운영중
301057,솜씨가,전라북도 전주시,,0.21,Y,0.24,0.34,5,,4.35,운영중
301072,러빙헛,전라북도 전주시,,0.18,Y,0.12,0.11,4,,4.22,운영중
301170,통집,전라북도 전주시,,0.19,Y,0.13,0.36,4,,4.52,운영중
325010,아리아랑,전라북도 전주시,안심식당,0.18,Y,0.29,0.34,4,,4.24,운영중
325035,현대옥 남부시장점,전라북도 전주시,,0.2,Y,0.15,0.67,4.5,,4.47,운영중
325170,프리모파스타,전라북도 전주시,"모범음식점,안심식당",0.21,Y,0.22,0.34,5,,4.32,운영중
325173,교동고로케,전라북도 전주시,,0.19,Y,0.13,0.57,4,,4.34,운영중
325186,피자스쿨 서신점,전라북도 전주시,,0.2,Y,0.08,0.09,4.5,,4.46,운영중
325284,용구비어 전주본점,전라북도 전주시,,0.19,Y,0.26,0.07,4,,4.73,운영중
351716,본가칼국수,전라북도 전주시,,0.21,Y,0.26,0.17,5,,4.46,운영중
351747,바글바글부대찌개,전라북도 전주시,,0.18,Y,0.17,0.34,4,,4.27,운영중
352050,국수나무 전주송천점,전라북도 전주시,,0.19,Y,0.15,0.34,4,,4.39,운영중
352071,파리바게뜨 오송점,전라북도 전주시,,0.18,Y,0.12,0.03,4,,4.32,운영중
352074,뚜레쥬르 전북대 사대부고점,전라북도 전주시,,0.19,Y,0.13,0.03,4,,4.4,운영중
381290,효자동아귀찜,전라북도 전주시,모범음식점,0.2,Y,0.36,0.36,4.5,,4.32,운영중
381307,납작한슬리퍼,전라북도 전주시,,0.17,Y,0.12,0.36,3.5,,4.07,운영중
381360,이조참치,전라북도 전주시,,0.19,Y,0.12,0.34,4,,4.36,운영중
381369,국민각,전라북도 전주시,,0.19,Y,0.14,0.09,4,,4.37,운영중
381425,한스델리 중앙점,전라북도 전주시,,0.18,Y,0.17,0.24,4,,4.17,운영중
381478,카페에레쯔,전라북도 전주시,,0.21,Y,0.15,0.04,5,,4.55,운영중
381594,송천참옻닭,전라북도 전주시,,0.19,Y,0.18,0.34,4,,4.4,운영중
381643,현대옥전주고속버스터미널점,전라북도 전주시,,0.16,Y,0.15,0.34,3,,4.33,운영중
412136,미카도스시 전주전북도청점,전라북도 전주시,,0.2,Y,0.22,0.36,4.5,,4.43,운영중
49765,오늘과오늘사이,전라북도 전주시,,0.1,Y,0.13,0.33,,,4.4,운영중
7243,신한성원,전라북도 전주시,,0.09,Y,0.23,0.07,,,4.16,운영중
51209,59피자 59쌀피자 전주송천1호점,,,,N,0.07,,,,,미확인
52848,카페스타치오,,,,N,0.09,,,,,운영중
54188,우리술 오늘,,,,N,0.07,,,,,폐업
57722,Angel-in-us 엔제리너스 전북대점,,,,N,0.12,,,,,운영중
7251,짬뽕명가,전라북도 전주시,,0.09,Y,0.13,0.33,,,4.24,운영중
58658,근영목우촌숯불갈비,전라북도 전주시,,0.1,Y,0.25,0.11,,,4.36,운영중
58659,춘향회관,전라북도 전주시,,0.1,Y,0.23,0.27,,,4.5,운영중
58661,완산성순대국 삼천점,전라북도 전주시,,0.09,Y,0.21,,,,4.14,운영중
58666,김가네닭발꼼장어,전라북도 전주시,,0.1,Y,0.08,0.06,,,4.35,운영중
58668,래래반점,전라북도 전주시,,0.1,Y,0.23,0.02,,,4.33,운영중
58669,히스커피,전라북도 전주시,,0.1,Y,0.09,,,,4.4,운영중
58670,웅이네분식,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.57,운영중
58673,연와미당,전라북도 전주시,,0.1,Y,0.14,0.33,,,4.3,운영중
58674,서호 순대촌,전라북도 전주시,,0.09,Y,0.24,0.16,,,4.27,운영중
58676,서도분식,전라북도 전주시,,0.1,Y,0.23,0.33,,,4.29,운영중
58679,돼지잔치,전라북도 전주시,,0.1,Y,0.24,0.11,,,4.28,운영중
58681,보배원,전라북도 전주시,,0.09,Y,0.23,0.18,,,4.12,운영중
8381,안티코,,,,N,0.09,,,,2.83,운영중
58699,만계치킨,전라북도 전주시,,0.11,Y,0.17,0.07,,,4.76,운영중
58705,봉이설렁탕,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.35,운영중
60125,Cafe YENA,,,,N,0.09,,,,,미확인
60205,RIUOOM 2nd,,,,N,0.07,,,,,폐업
61599,테이크아웃치킨&오븐,,,,N,0.07,,,,,미확인
61812,슈퍼떡볶킹,,,,N,0.07,,,,,미확인
62358,호맥,,,,N,0.09,,,,5,미확인
64855,그랑삐아또 중화산본점,,,,N,0.09,,,,5,운영중
67643,족발예찬 송천동본점,,,,N,0.07,,,,,운영중
68734,이태리부대찌개 서곡점,,,,N,0.1,,,,,운영중
3103,가람나주곰탕,전라북도 전주시,,0.1,Y,0.11,0.04,,,4.45,운영중
8798,꼬꼬영양통닭,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.45,운영중
1606,피자애 송천점,,,,N,0.1,,,,,미확인
69067,즐겨찾기,전라북도 전주시,,0.09,Y,0.12,0.01,,,3.88,운영중
69071,박가네해물칼국수,전라북도 전주시,,0.1,Y,0.08,0.33,,,4.32,운영중
69072,해태피순대,전라북도 전주시,,0.1,Y,0.21,0.09,,,4.52,운영중
69084,팔공티전주대점,전라북도 전주시,,0.1,Y,0.11,0.01,,,4.43,운영중
69085,진미진미,전라북도 전주시,,0.1,Y,0.23,,,,4.5,운영중
69088,다사랑치킨피자 중앙점,전라북도 전주시,,0.09,Y,0.13,0.12,,,4.15,운영중
69098,명품짬뽕 송천점,전라북도 전주시,,0.09,Y,0.08,0.11,,,4.25,운영중
69105,전주칼국수,전라북도 전주시,,0.1,Y,0.11,0.33,,,4.43,운영중
69107,전주콩각시굴신랑,전라북도 전주시,안심식당,0.09,Y,0.23,0.06,,,4.27,운영중
69108,해브어굿테이블,전라북도 전주시,,0.1,Y,0.11,0.33,,,4.47,운영중
69110,만선회센타,전라북도 전주시,,0.1,Y,0.1,0.33,,,4.53,운영중
69111,부대통령뚝배기 전북대점,전라북도 전주시,,0.1,Y,0.12,0.33,,,4.33,운영중
69112,행복한식탁,전라북도 전주시,,0.1,Y,0.23,0.03,,,4.39,운영중
69114,청년다방 전북대점,전라북도 전주시,,0.1,Y,0.12,0.33,,,4.52,운영중
69115,주인의주방 전북대점,전라북도 전주시,,0.1,Y,0.18,0.33,,,4.47,운영중
69118,팔팔호프전북대점,전라북도 전주시,,0.1,Y,0.11,0.29,,,4.48,운영중
69119,엘베강전북대점,전라북도 전주시,,0.1,Y,0.1,0.3,,,4.37,운영중
69120,카페 프로바이더,전라북도 전주시,,0.1,Y,0.14,0.33,,,4.37,운영중
69122,참돈,전라북도 전주시,,0.09,Y,0.12,0.31,,,4.05,운영중
74959,백번집,,,,N,0.09,,,,1.32,운영중
80506,신포우리만두 전주훼미리센타점,전라북도 전주시,,0.09,Y,0.12,0.33,,,4.26,운영중
